Survey_StNo_HaulNo_Year,LATITUDE,LONGITUDE,Depth,Temperature,Salinity,Current_Speed,Grain_Size,Distance_to_Shore,F_LPUE,Scallop,MI_Av_E_Hr,MI_Av_LPUE,MI_Sum_Liv,Whelk,MmoAvScKwh,Cod_C,Cod_T,Cod_B,Cod_S,Haddock_C,Haddock_T,Haddock_B,Haddock_S,Plaice_C,Plaice_T,Plaice_B,Plaice_S,Whiting_C,Whiting_T,Whiting_B,Whiting_S,ComSkt_C,ComSkt_T,ComSkt_B,ComSkt_S,Blonde_C,Blonde_T,Blonde_S,C_Preds,T_Preds,B_Preds,S_Preds,Cuckoo,Thornback,Blonde,Spotted
BTS-VIIa/14/49/1997,54.6883,-4.22005,33.35,16.103,33.758,0.73,0.429296875,8246.210938,0,2769.6,0,0,0,0.522871246,7042.793594,0,0,0,0,0,0,0,0,0,0,0,0,100,76,0,102,0,0,0,0,0,0,0,100,76,0,102,0,0,0,0
BTS-VIIa/5/38/1997,54.6792,-3.6267,15.38,15.891,33.369,0.9,0.254375,4472.13623,0,110.4,0,0,0,0.37203059,10557.68208,0,0,0,0,0,0,0,0,20,4,0,26,20,10,0,26,0,0,0,0,0,0,0,40,14,0,52,0,4,0,2
BTS-VIIa/2/47/1997,54.71745,-4.58505,12.14,15.608,33.858,0.85,2.350328125,3162.277588,0,2769.6,0,0,0,0.522871246,7042.793594,2,2,2,2,0,0,0,0,284,64,16,340,2,0,0,2,0,0,0,0,0,0,0,288,66,18,344,0,0,0,0
BTS-VIIa/321/10/1997,52.39415,-4.2942,16.27,17.028,34.188,0.41,0.3340625,12369.31738,0,9966.455556,0,0,0,0.894867407,5535.695809,0,0,0,0,0,0,0,0,62,12,0,62,66,6,0,74,0,0,0,0,4,2,4,132,20,0,140,0,2,4,8
BTS-VIIa/416/12/1997,52.385,-4.8309,46.64,15.748,34.475,0.86,0.975601563,29410.88281,0,9966.455556,14.66666667,86.61627736,7348.121989,0.894867407,5535.695809,2,2,2,2,2,0,0,2,22,12,0,22,200,166,2,200,0,0,0,0,0,0,0,226,180,4,226,0,12,0,10
BTS-VIIa/316/13/1997,52.6375,-4.36755,15.71,16.659,34.246,0.43,2.350328125,16278.82031,0,2319.133333,0,0,0,0.502162825,4133.212082,0,0,0,0,0,0,0,0,12,6,0,12,12,2,0,12,0,0,0,0,0,0,0,24,8,0,24,0,2,0,6
BTS-VIIa/313/14/1997,52.85,-4.1775,11.17,16.511,34.112,0.17,0.3340625,4000,0,2319.133333,0,0,0,0.502162825,4133.212082,0,0,0,0,0,0,0,0,110,10,2,118,42,2,0,52,0,0,0,0,0,0,0,152,12,2,170,0,16,0,0
BTS-VIIa/421/106/1997,53.1984,-5.225,118.17,14.589,34.341,1.34,2.350328125,37656.33984,43.97312069,201.5888889,0,0,0,1.69340688,7822.992105,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,2,2,2,2,2,0,0,0
BTS-VIIa/40/80/1997,53.33745,-4.2159,8.94,16.442,34.166,0.53,0.254375,1000,0,3155.722222,0,0,0,1.701607611,4824.284459,0,0,0,0,0,0,0,0,28,12,4,28,2,0,0,2,0,0,0,0,0,0,0,30,12,4,30,0,2,0,0
BTS-VIIa/37/75/1997,53.37165,-3.8166,14.59,16.618,34.222,0.77,0.975601563,4472.13623,0,252.3425926,0,0,0,0.947617588,8391.788601,0,0,0,0,0,0,0,0,314,66,12,318,10,6,0,14,0,0,0,0,0,0,0,324,72,12,332,0,0,0,4
BTS-VIIa/38/76/1997,53.37835,-3.9958,19.58,16.734,34.166,0.78,0.429296875,8062.257813,0,252.3425926,0,0,0,0.947617588,8391.788601,0,0,0,0,0,0,0,0,376,36,2,382,4,2,0,4,0,0,0,0,0,0,0,380,38,2,386,0,0,0,6
BTS-VIIa/36/74/1997,53.395,-3.69085,13.57,16.925,34.164,0.76,0.975601563,10000,0,252.3425926,0,0,0,0.947617588,8391.788601,12,12,12,12,0,0,0,0,378,104,14,378,10,10,6,10,0,0,0,0,0,0,0,400,126,32,400,0,0,0,0
BTS-VIIa/32/69/1997,53.4608,-3.42085,16.92,16.654,34.089,0.81,0.975601563,13341.66406,0,252.3425926,0,0,0,0.947617588,8391.788601,0,0,0,0,0,0,0,0,100,26,4,110,234,204,30,242,0,0,0,0,0,0,0,334,230,34,352,0,4,0,4
BTS-VIIa/419/78/1997,53.51755,-4.2675,39.73,16.249,34.142,1.45,2.350328125,12369.31738,0,11793.51481,0,0,0,1.715357282,10583.77024,10,6,4,12,0,0,0,0,0,0,0,0,48,48,16,48,0,0,0,0,0,0,0,58,54,20,60,2,0,0,0
BTS-VIIa/-9/83/1997,53.4683,-5.38505,84.37,13.827,34.201,1.09,0.3340625,42296.57422,53.96538494,201.5888889,0,0,0,1.69340688,7822.992105,8,8,8,8,0,0,0,0,0,0,0,0,8,6,2,8,0,0,0,0,0,0,0,16,14,10,16,4,0,0,0
BTS-VIIa/447/104/1997,53.4759,-5.0984,82.44,14.243,34.212,1.22,0.975601563,33600.59375,31.78138633,201.5888889,0,0,0,1.69340688,7822.992105,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,8,0,0,0
BTS-VIIa/49/70/1997,53.55995,-3.6791,32.99,16.799,34.011,0.85,0.909859375,26925.82227,0,2287.111111,0,0,0,0.317249829,13490.21972,0,0,0,0,0,0,0,0,54,44,6,54,0,0,0,0,0,0,0,0,0,0,0,54,44,6,54,0,2,0,2
BTS-VIIa/55/77/1997,53.56755,-4.0409,44.88,16.369,34.056,1.12,0.909859375,24758.83594,0,11793.51481,2,50.71428571,202.8571429,1.715357282,10583.77024,6,6,6,6,0,0,0,0,0,0,0,0,20,20,0,20,0,0,0,0,0,0,0,26,26,6,26,0,0,0,0
BTS-VIIa/31/67/1997,53.5508,-3.27755,9.6,16.901,34.082,0.68,0.349609375,12000,0,2287.111111,0,0,0,0.317249829,13490.21972,8,0,0,8,0,0,0,0,148,22,0,150,54,32,0,58,0,0,0,0,0,0,0,210,54,0,216,0,6,0,0
BTS-VIIa/47/19/1997,53.6108,-3.63915,28.61,16.752,33.968,0.83,0.975601563,33526.10938,0,2287.111111,0,0,0,0.317249829,13490.21972,6,6,6,6,0,0,0,0,72,38,0,72,50,38,2,50,0,0,0,0,0,0,0,128,82,8,128,0,0,0,0
BTS-VIIa/408/84/1997,53.7117,-5.4675,102.64,11.439,34.228,0.57,0.0471875,42720.01953,61.5945814,1243.927777,0,0,0,0.035036051,4971.037695,2,2,2,2,0,0,0,0,0,0,0,0,26,14,0,28,0,0,0,0,0,0,0,28,16,2,30,0,0,0,0
BTS-VIIa/30/66/1997,53.6283,-3.3384,18.19,16.929,33.956,0.69,0.429296875,17888.54492,0,2287.111111,0,0,0,0.317249829,13490.21972,0,0,0,0,0,0,0,0,206,46,0,206,12,8,0,14,0,0,0,0,0,0,0,218,54,0,220,0,2,0,0
BTS-VIIa/27/62/1997,53.7867,-3.1509,9,16.646,33.674,0.62,0.254375,7000,0,2287.111111,0,0,0,0.317249829,13490.21972,10,2,2,10,0,0,0,0,182,56,2,182,130,112,10,138,0,0,0,0,0,0,0,322,170,14,330,0,0,0,0
BTS-VIIa/54/20/1997,53.74415,-3.76915,38.01,16.233,34.005,0.86,2.350328125,46389.65234,0,2287.111111,0,0,0,0.317249829,13490.21972,0,0,0,0,0,0,0,0,12,12,0,12,68,58,0,68,0,0,0,0,0,0,0,80,70,0,80,0,0,0,0
BTS-VIIa/28/61/1997,53.7008,-3.2783,15.37,16.792,33.853,0.69,0.429296875,17088.00781,0,2287.111111,0,0,0,0.317249829,13490.21972,0,0,0,0,0,0,0,0,156,72,6,156,80,76,12,82,0,0,0,0,0,0,0,236,148,18,238,0,2,0,2
BTS-VIIa/440/176/1997,53.1183,-5.72415,16.01,15.33,34.186,1.19,3.6190625,22000,0,201.5888889,0,0,0,1.69340688,7822.992105,0,0,0,2,0,0,0,0,30,24,10,30,0,0,0,0,0,0,0,0,18,16,18,48,40,10,50,10,0,10,4
BTS-VIIa/229/175/1997,53.31415,-5.95755,22.6,15.541,34.255,0.66,0.3340625,8485.28125,0,201.5888889,0,0,0,1.69340688,7822.992105,0,0,0,0,4,4,0,4,278,122,12,288,12,6,0,14,0,0,0,0,0,0,0,294,132,12,306,0,0,0,4
BTS-VIIa/220/173/1997,53.41415,-5.89915,40.77,14.764,34.203,0.69,0.3340625,11313.70801,25.62103441,201.5888889,0,0,0,1.69340688,7822.992105,0,0,0,0,96,42,0,102,692,180,18,730,244,2,0,516,0,0,0,0,0,0,0,1032,224,18,1348,0,0,0,18
BTS-VIIa/214/172/1997,53.60255,-6.0991,10.02,15.721,34.184,0.43,0.254375,3162.277588,207.6338283,8536.822221,6,0,0,0.197,9228.522807,0,0,0,0,0,0,0,0,436,62,14,580,10,0,0,30,0,0,0,0,0,0,0,446,62,14,610,0,0,0,0
BTS-VIIa/430/166/1997,52.55995,-5.81915,60.8,14.849,34.258,1.38,2.350328125,26019.22461,0,137.4555556,0,0,0,0.246811779,3008.668333,8,8,8,8,2,2,2,2,0,0,0,0,2,2,2,2,0,0,0,0,2,2,2,14,14,12,14,2,0,0,0
BTS-VIIa/309/181/1997,52.735,-4.48335,28.12,16.482,34.155,0.52,0.254375,6708.203613,0,2319.133333,0,0,0,0.502162825,4133.212082,0,0,0,0,0,0,0,0,44,32,4,44,186,118,2,190,0,0,0,0,0,0,0,230,150,6,234,0,44,0,0
BTS-VIIa/233/168/1997,52.75085,-6.11245,11.88,16.097,34.243,0.8,0.3340625,2236.068115,0,522.6481481,0,0,0,0,0,2,2,2,2,0,0,0,0,1210,282,6,1282,264,4,0,322,0,0,0,0,0,0,0,1476,288,8,1606,0,10,0,8
BTS-VIIa/442/182/1997,53.00255,-4.8158,62.17,15.14,34.577,1.19,2.350328125,17691.80664,0,3155.722222,0,0,0,1.701607611,4824.284459,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,0,0,0
BTS-VIIa/441/177/1997,52.9225,-5.3825,62.24,14.768,34.244,1.49,1.3,41593.26953,0,137.4555556,0,0,0,0.246811779,3008.668333,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,2,0,0,2
BTS-VIIa/305/184/1997,53.0809,-4.4183,11.66,15.886,34.431,0.27,2.350328125,5385.164551,0,3155.722222,0,0,0,1.701607611,4824.284459,0,0,0,0,0,0,0,0,78,52,12,78,0,0,0,0,0,0,0,0,2,0,2,80,52,12,80,0,0,2,0
BTS-VIIa/302/185/1997,53.2108,-4.69,36.77,15.512,34.387,1.28,2.350328125,7211.102539,0,3155.722222,0,0,0,1.701607611,4824.284459,2,2,2,2,0,0,0,0,14,12,4,14,38,36,16,38,0,0,0,0,0,0,0,54,50,22,54,0,0,0,2
BTS-VIIa/43/154/1998,53.83755,-3.5533,22.63,16.382,33.922,0.77,0.254375,32557.64063,0,2287.111111,0,0,0,0.317249829,13490.21972,0,0,0,0,0,0,0,0,36,34,4,36,0,0,0,0,0,0,0,0,0,0,0,36,34,4,36,0,0,0,0
BTS-VIIa/53/160/1998,53.8034,-3.98005,39.34,15.885,34.032,0.99,0.975601563,47885.28125,0,2287.111111,4,79.43055556,317.7222222,0.317249829,13490.21972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/405/138/1998,53.8359,-5.2583,70.04,14.137,34.195,0.59,0.126875,37202.15234,58.35263747,1243.927777,0,0,0,0.035036051,4971.037695,0,0,0,0,0,0,0,2,0,0,0,0,10,10,0,10,0,0,0,0,0,0,0,10,10,0,12,0,0,0,0
BTS-VIIa/206/121/1998,53.86505,-6.1083,28.24,14.026,34.196,0.23,0.126875,10049.875,59.6125718,8536.822221,0,0,0,0.197,9228.522807,2,2,0,2,6,0,0,10,60,12,4,66,16,6,0,18,0,0,0,0,0,0,0,84,20,4,96,0,0,0,0
BTS-VIIa/23/200/1998,53.8892,-3.3234,11.92,16.551,33.646,0.89,0.254375,18000,0,2287.111111,0,0,0,0.317249829,13490.21972,0,0,0,0,0,0,0,0,58,48,12,58,74,30,6,112,0,0,0,0,0,0,0,132,78,18,170,0,0,0,0
BTS-VIIa/42/157/1998,53.8942,-3.88,37.82,15.642,34.032,0.87,0.429296875,46518.8125,0,2287.111111,0,0,0,0.317249829,13490.21972,0,0,0,0,0,0,0,0,26,26,6,26,0,0,0,0,0,0,0,0,0,0,0,26,26,6,26,0,0,0,0
BTS-VIIa/41/155/1998,53.91415,-3.6241,28.11,16.059,33.969,0.73,0.254375,30805.84375,0,2287.111111,0,0,0,0.317249829,13490.21972,0,0,0,0,0,0,0,0,6,6,2,6,4,4,4,4,0,0,0,0,0,0,0,10,10,6,10,0,0,0,0
BTS-VIIa/424/167/1998,54.0109,-4.3959,46.48,14.889,34.097,1.14,2.350328125,14866.06836,0,56913.35556,0,0,0,0.333495637,3748.450618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/12/198/1998,53.9534,-3.2917,16.75,16.251,33.424,0.95,0.349609375,12649.11035,0,2287.111111,0,0,0,0.317249829,13490.21972,0,0,0,0,0,0,0,0,200,140,42,200,4,0,0,4,0,0,0,0,0,0,0,204,140,42,204,0,0,0,0
BTS-VIIa/425/133/1998,53.97585,-4.97245,48.25,14.447,34.169,0.78,0.429296875,13601.4707,0,11793.51481,0,0,0,1.715357282,10583.77024,0,0,0,0,44,20,14,50,0,0,0,0,10,8,0,10,0,0,0,0,0,0,0,54,28,14,60,0,0,0,0
BTS-VIIa/22/87/1998,54.07,-3.79005,41.08,15.379,34.033,0.64,0.3340625,34000,0,638.4,0,0,0,1.388704883,4534.087343,0,0,0,0,0,0,0,0,6,6,0,6,2,2,0,2,0,0,0,0,0,0,0,8,8,0,8,0,0,0,0
BTS-VIIa/444/119/1998,54.0716,-5.53835,64.62,13.375,34.182,0.3,0.0471875,19313.20703,432.3804351,7886.733333,0,0,0,0.103841552,2834.975551,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0
BTS-VIIa/19/89/1998,54.1742,-3.6316,28.49,15.607,34.018,0.43,0.126875,17888.54492,67.47716837,638.4,0,0,0,1.388704883,4534.087343,0,0,0,0,0,0,0,0,26,16,10,26,0,0,0,0,0,0,0,0,0,0,0,26,16,10,26,0,0,0,0
BTS-VIIa/10/92/1998,54.1967,-3.40245,9.56,15.764,33.899,0.5,0.975601563,3162.277588,0,638.4,0,0,0,1.388704883,4534.087343,0,0,0,0,0,0,0,0,352,180,14,360,8,8,0,8,0,0,0,0,0,0,0,360,188,14,368,0,0,0,0
BTS-VIIa/203/117/1998,54.1491,-5.7917,22.03,14.233,34.216,0.19,0.975601563,5385.164551,0,7886.733333,0,0,0,0.103841552,2834.975551,0,0,0,0,2,0,0,4,426,16,4,512,10,0,0,32,0,0,0,0,0,0,0,438,16,4,548,0,0,0,0
BTS-VIIa/18/100/1998,54.35255,-3.90665,39.71,15.72,33.985,0.55,0.254375,24083.18945,29.86020305,638.4,0,0,0,1.388704883,4534.087343,0,0,0,0,0,0,0,0,28,22,10,28,12,4,0,16,0,0,0,0,0,0,0,40,26,10,44,0,0,0,2
BTS-VIIa/9/196/1998,54.2575,-3.49915,17.24,15.851,33.899,0.5,0.254375,7280.109863,0,638.4,0,0,0,1.388704883,4534.087343,0,0,0,0,0,0,0,0,74,64,16,74,8,6,0,8,0,0,0,0,0,0,0,82,70,16,82,0,0,0,0
BTS-VIIa/17/101/1998,54.39665,-3.6633,23.23,15.965,33.661,0.51,0.126875,9219.543945,0,638.4,0,0,0,1.388704883,4534.087343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/16/102/1998,54.4825,-3.6884,20.56,15.99,33.425,0.52,0.126875,5000,0,638.4,0,0,0,1.388704883,4534.087343,0,0,0,0,0,0,0,0,36,32,10,36,0,0,0,0,0,0,0,0,0,0,0,36,32,10,36,0,0,0,0
BTS-VIIa/15/188/1998,54.62245,-3.84335,24.72,16.182,33.699,0.62,0.254375,17262.67578,0,110.4,0,0,0,0.37203059,10557.68208,0,0,0,0,0,0,0,0,102,84,6,102,2,0,0,2,0,0,0,0,0,0,0,104,84,6,104,0,2,0,0
BTS-VIIa/7/194/1998,54.57665,-3.72835,19.88,15.992,33.618,0.43,0.254375,8944.272461,0,110.4,0,0,0,0.37203059,10557.68208,0,0,0,0,0,0,0,0,292,192,8,296,0,0,0,0,0,0,0,0,0,0,0,292,192,8,296,0,0,0,0
BTS-VIIa/6/190/1998,54.70995,-3.7034,5.72,15.843,33.49,0.9,0.429296875,10000,0,110.4,0,0,0,0.37203059,10557.68208,0,0,0,0,0,0,0,0,504,140,24,636,146,0,0,320,0,0,0,0,0,0,0,650,140,24,956,0,0,0,0
BTS-VIIa/14/186/1998,54.7283,-4.12665,20.48,15.743,33.735,0.63,0.254375,5385.164551,0,2769.6,0,0,0,0.522871246,7042.793594,0,0,0,0,0,0,0,0,40,38,14,40,50,38,0,50,0,0,0,0,0,0,0,90,76,14,90,0,0,0,0
BTS-VIIa/5/192/1998,54.6842,-3.62245,16.14,15.875,33.432,0.92,0.3340625,4242.640625,0,110.4,0,0,0,0.37203059,10557.68208,0,0,0,0,0,0,0,0,36,14,8,50,80,20,0,126,0,0,0,0,0,0,0,116,34,8,176,0,2,0,0
BTS-VIIa/421/226/1998,53.19835,-5.2291,120.69,14.584,34.34,1.35,2.350328125,37656.33984,43.97312069,201.5888889,0,0,0,1.69340688,7822.992105,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,0,0
BTS-VIIa/229/245/1998,53.2408,-5.95415,29.19,15.348,34.227,0.7,0.429296875,10295.63086,0,201.5888889,0,0,0,1.69340688,7822.992105,0,0,0,0,14,0,0,14,632,160,16,680,38,2,0,56,0,0,0,0,0,0,0,684,162,16,750,0,0,0,10
BTS-VIIa/40/218/1998,53.34085,-4.0967,7.99,16.45,34.209,0.59,0.3340625,3000,0,3155.722222,0,0,0,1.701607611,4824.284459,0,0,0,0,0,0,0,0,112,36,6,124,304,162,24,350,0,0,0,0,0,0,0,416,198,30,474,0,0,0,2
BTS-VIIa/37/215/1998,53.37165,-3.81745,14.59,16.618,34.222,0.77,0.975601563,4472.13623,0,252.3425926,0,0,0,0.947617588,8391.788601,0,0,0,0,0,0,0,0,442,42,4,444,188,110,4,200,0,0,0,0,0,0,0,630,152,8,644,0,2,0,0
BTS-VIIa/38/217/1998,53.3875,-3.85835,16.4,16.755,34.212,0.79,0.429296875,6000,0,252.3425926,0,0,0,0.947617588,8391.788601,0,0,0,0,0,0,0,0,186,26,2,186,82,40,2,84,0,0,0,0,0,0,0,268,66,4,270,0,0,0,10
BTS-VIIa/36/219/1998,53.41245,-3.5825,12.02,16.875,34.142,0.8,2.350328125,12529.96484,0,252.3425926,0,0,0,0.947617588,8391.788601,0,0,0,0,0,0,0,0,214,80,6,214,4,4,0,4,0,0,0,0,0,0,0,218,84,6,218,0,0,0,0
BTS-VIIa/220/126/1998,53.41505,-5.9009,40.83,14.764,34.203,0.69,0.3340625,11313.70801,25.62103441,201.5888889,0,0,0,1.69340688,7822.992105,0,0,0,0,2,0,0,2,634,78,8,812,16,0,0,28,0,0,0,0,0,0,0,652,78,8,842,0,0,0,0
BTS-VIIa/409/147/1998,53.5158,-5.2816,65.28,14.029,34.203,1.08,0.3340625,46324.94141,26.47727273,1243.927777,0,0,0,0.035036051,4971.037695,0,0,0,0,4,4,4,4,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,6,4,4,6,6,0,0,0
BTS-VIIa/32/206/1998,53.45755,-3.4084,15.84,16.654,34.089,0.81,0.975601563,12165.52539,0,252.3425926,0,0,0,0.947617588,8391.788601,0,0,0,0,0,0,0,0,64,14,2,68,60,46,2,62,0,0,0,0,0,0,0,124,60,4,130,0,6,0,2
BTS-VIIa/419/222/1998,53.5191,-4.26995,40.39,16.189,34.146,1.47,2.350328125,12369.31738,0,11793.51481,0,0,0,1.715357282,10583.77024,0,0,0,0,0,0,0,0,0,0,0,0,18,14,6,20,0,0,0,0,0,0,0,18,14,6,20,0,0,0,0
BTS-VIIa/447/149/1998,53.53005,-4.9967,51.17,14.681,34.216,1.28,2.350328125,32249.03125,0,11793.51481,0,0,0,1.715357282,10583.77024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
BTS-VIIa/55/220/1998,53.5758,-4.0375,45.84,16.342,34.049,1.12,0.909859375,25455.8457,0,11793.51481,7.1966666,88.18990187,3379.780636,1.715357282,10583.77024,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0
BTS-VIIa/49/210/1998,53.4991,-3.73335,32.55,16.84,34.06,0.87,0.975601563,20396.07813,0,252.3425926,0,0,0,0.947617588,8391.788601,0,0,0,0,0,0,0,0,16,16,4,16,0,0,0,0,0,0,0,0,0,0,0,16,16,4,16,0,0,0,0
BTS-VIIa/31/205/1998,53.5492,-3.2658,8.38,16.901,34.082,0.68,0.349609375,11000,0,2287.111111,0,0,0,0.317249829,13490.21972,0,0,0,0,0,0,0,0,118,46,4,118,56,50,6,60,0,0,0,0,0,0,0,174,96,10,178,0,6,0,0
BTS-VIIa/47/208/1998,53.60755,-3.6475,29.68,16.752,33.968,0.83,0.975601563,32572.99414,0,2287.111111,0,0,0,0.317249829,13490.21972,0,0,0,0,0,0,0,0,112,68,0,112,0,0,0,0,0,0,0,0,0,0,0,112,68,0,112,0,2,0,2
BTS-VIIa/214/125/1998,53.60495,-6.0991,10.02,15.721,34.184,0.43,0.254375,3162.277588,207.6338283,8536.822221,6,0,0,0.197,9228.522807,0,0,0,0,0,0,0,0,867.0967742,34.83870968,3.870967742,1089.677419,1.935483871,0,0,5.806451613,0,0,0,0,0,0,0,869.0322581,34.83870968,3.870967742,1095.483871,0,0,0,0
BTS-VIIa/30/203/1998,53.6317,-3.33245,18,16.929,33.953,0.69,0.429296875,17888.54492,0,2287.111111,0,0,0,0.317249829,13490.21972,0,0,0,0,0,0,0,0,100,34,4,100,14,8,0,22,0,0,0,0,0,0,0,114,42,4,122,0,0,0,0
BTS-VIIa/408/144/1998,53.62255,-5.4558,99.87,12.253,34.21,0.78,0.254375,40162.17188,62.85635549,1243.927777,0,0,0,0.035036051,4971.037695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/28/153/1998,53.77505,-3.3191,14.84,16.733,33.842,0.8,0.254375,18000,0,2287.111111,0,0,0,0.317249829,13490.21972,0,0,0,0,0,0,0,0,148,76,8,150,40,38,14,40,0,0,0,0,0,0,0,188,114,22,190,0,0,0,4
BTS-VIIa/27/151/1998,53.66585,-3.16755,7.04,16.725,33.999,0.52,0.3340625,8944.272461,0,2287.111111,0,0,0,0.317249829,13490.21972,0,0,0,0,0,0,0,0,198,54,4,208,72,56,8,74,0,0,0,0,0,0,0,270,110,12,282,0,0,0,0
BTS-VIIa/54/159/1998,53.7416,-3.78,38.1,16.233,34.005,0.86,2.350328125,46270.94141,0,2287.111111,0,0,0,0.317249829,13490.21972,0,0,0,0,0,0,0,0,56,52,12,56,0,0,0,0,0,0,0,0,2,2,2,58,54,12,58,0,0,2,2
BTS-VIIa/401/165/1998,53.8275,-4.74755,67.68,14.649,34.148,1,0.975601563,25317.97852,0,11793.51481,12.9666666,88.1706527,8150.370296,1.715357282,10583.77024,0,0,0,0,8,0,0,10,8,6,2,8,70,44,2,72,0,0,0,0,0,0,0,86,50,4,90,0,0,0,0
BTS-VIIa/423/162/1998,53.82995,-4.20585,45.8,15.612,34.072,1.16,0.975601563,38013.15625,0,11793.51481,25.09722183,85.08649036,14685.13615,1.715357282,10583.77024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/213/123/1998,53.74165,-5.8966,46.63,13.594,34.186,0.42,0.126875,21400.93359,57.9121421,1243.927777,0,0,0,0.035036051,4971.037695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS-VIIa/321/82/1998,52.39665,-4.2917,16.29,17.028,34.188,0.41,0.3340625,12369.31738,0,9966.455556,0,0,0,0.894867407,5535.695809,0,0,0,0,0,0,0,0,72,22,0,74,6,0,0,6,0,0,0,0,0,0,0,78,22,0,80,0,2,0,12
BTS-VIIa/416/80/1998,52.41755,-4.7491,39.19,15.836,34.437,0.78,2.350328125,32140.31641,0,9966.455556,26.24374988,279.5801554,20794.25052,0.894867407,5535.695809,0,0,0,0,0,0,0,0,64,32,0,64,234,92,4,240,0,0,0,0,0,0,0,298,124,4,304,0,4,0,4
BTS-VIIa/430/249/1998,52.48495,-5.8484,69.53,14.659,34.397,1.4,2.350328125,25632.01172,0,1008.322222,5.316666667,85.7015354,1347.944444,0.511463456,3912.137536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
BTS-VIIa/316/84/1998,52.6391,-4.3366,16.95,16.702,34.231,0.43,0.975601563,14142.13574,0,2319.133333,0,0,0,0.502162825,4133.212082,0,0,0,0,0,0,0,0,22,4,0,22,14,8,0,14,0,0,0,0,0,0,0,36,12,0,36,0,8,0,4
BTS-VIIa/309/234/1998,52.73005,-4.48915,29.27,16.565,34.133,0.51,0.254375,6324.555176,0,2319.133333,0,0,0,0.502162825,4133.212082,0,0,0,0,0,0,0,0,8,4,0,8,8,2,2,10,0,0,0,0,0,0,0,16,6,2,18,0,26,0,0
BTS-VIIa/313/236/1998,52.84745,-4.1808,10.14,16.511,34.112,0.17,0.3340625,3605.55127,0,2319.133333,0,0,0,0.502162825,4133.212082,0,0,0,0,0,0,0,0,32,16,0,34,6,0,0,10,0,0,0,0,0,0,0,38,16,0,44,0,20,0,0
BTS-VIIa/233/247/1998,52.7575,-6.11005,12.85,16.097,34.243,0.8,0.3340625,2000,0,522.6481481,0,0,0,0,0,2,0,0,2,0,0,0,0,858,246,2,880,56,0,0,128,0,0,0,0,0,0,0,916,246,2,1010,0,4,0,28
BTS-VIIa/441/241/1998,52.98995,-5.3525,71.72,14.746,34.244,1.5,1.3,44011.36328,0,137.4555556,0,0,0,0.246811779,3008.668333,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4,0,0,0
BTS-VIIa/442/232/1998,52.93745,-4.8675,58.84,15.185,34.597,1.31,2.350328125,14142.13574,0,2319.133333,0,0,0,0.502162825,4133.212082,2,2,2,2,0,0,0,0,0,0,0,0,4,4,2,4,0,0,0,0,0,0,0,6,6,4,6,0,0,0,0
BTS-VIIa/305/230/1998,53.0241,-4.4983,17.21,15.462,34.494,0.46,0.975601563,5656.854004,0,3155.722222,0,0,0,1.701607611,4824.284459,0,0,0,0,0,0,0,0,34,24,6,34,0,0,0,0,0,0,0,0,0,0,0,34,24,6,34,0,0,0,2
BTS-VIIa/440/243/1998,53.19335,-5.7459,33.66,15.195,34.18,0.98,0.3340625,21840.33008,145.9251459,201.5888889,0,0,0,1.69340688,7822.992105,0,0,0,0,0,0,0,0,46,42,14,46,8,0,0,10,0,0,0,0,28,28,28,82,70,14,84,30,0,28,30
