Survey_StNo_HaulNo_Year,LATITUDE,LONGITUDE,Depth,Temperature,Salinity,Current_Speed,Grain_Size,Distance_to_Shore,F_LPUE,Scallop,MI_Av_E_Hr,MI_Av_LPUE,MI_Sum_Liv,Whelk,MmoAvScKwh,Cod_C,Cod_T,Cod_B,Cod_S,Haddock_C,Haddock_T,Haddock_B,Haddock_S,Plaice_C,Plaice_T,Plaice_B,Plaice_S,Whiting_C,Whiting_T,Whiting_B,Whiting_S,ComSkt_C,ComSkt_T,ComSkt_B,ComSkt_S,Blonde_C,Blonde_T,Blonde_S,C_Preds,T_Preds,B_Preds,S_Preds,Cuckoo,Thornback,Blonde,Spotted
BTS-VIIa/40/48/1993,53.34085,-4.1875,9.65,16.494,34.156,0.42,0.254375,3000,0,3155.722222,0,0,0,1.701607611,4824.284459,4,0,0,8,0,0,0,0,60,18,4,60,170,64,12,184,0,0,0,0,0,0,0,234,82,16,252,0,0,0,0
BTS-VIIa/37/55/1993,53.3684,-3.80835,14.51,16.579,34.23,0.76,0.975601563,4472.13623,0,252.3425926,0,0,0,0.947617588,8391.788601,0,0,0,0,0,0,0,0,350,32,2,360,4,0,0,4,0,0,0,0,0,0,0,354,32,2,364,0,8,0,2
BTS-VIIa/52/49/1993,53.40915,-4.1517,30.3,16.568,34.104,0.93,2.350328125,8485.28125,0,3155.722222,0,0,0,1.701607611,4824.284459,0,0,0,0,0,0,0,0,132,52,2,132,0,0,0,0,0,0,0,0,2,2,2,134,54,2,134,0,0,2,4
BTS-VIIa/38/52/1993,53.38245,-3.98755,18.57,16.734,34.166,0.78,0.429296875,8602.325195,0,252.3425926,0,0,0,0.947617588,8391.788601,0,0,0,0,0,0,0,0,174,28,8,174,0,0,0,0,0,0,0,0,2,2,2,176,30,8,176,0,0,2,10
BTS-VIIa/36/56/1993,53.41415,-3.5775,12.17,16.875,34.142,0.8,2.350328125,12529.96484,0,252.3425926,0,0,0,0.947617588,8391.788601,0,0,0,0,0,0,0,0,138,84,10,138,0,0,0,0,0,0,0,0,0,0,0,138,84,10,138,0,0,0,0
BTS-VIIa/34/61/1993,53.43995,-3.42165,12.73,16.565,33.955,0.76,0.975601563,11401.75391,0,252.3425926,0,0,0,0.947617588,8391.788601,6,0,0,8,0,0,0,0,374,82,6,374,0,0,0,0,0,0,0,0,0,0,0,380,82,6,382,0,0,0,0
BTS-VIIa/50/54/1993,53.4242,-3.8483,23.51,16.81,34.167,0.84,0.429296875,10000,0,252.3425926,0,0,0,0.947617588,8391.788601,0,0,0,0,0,0,0,0,130,80,4,130,2,2,0,2,0,0,0,0,6,6,6,138,88,4,138,0,0,0,0
BTS-VIIa/220/125/1993,53.4759,-5.9725,29.71,15.185,34.245,0.76,0.909859375,3605.55127,16.625,201.5888889,2,85.5,171,1.69340688,7822.992105,16,0,0,18,2,0,0,2,222,44,4,254,428,6,0,630,0,0,0,0,2,0,2,670,50,4,906,2,2,2,8
BTS-VIIa/35/60/1993,53.43835,-3.5942,17.42,16.936,34.151,0.83,0.975601563,14764.82324,0,252.3425926,0,0,0,0.947617588,8391.788601,2,0,0,4,0,0,0,0,102,80,20,102,8,8,8,8,0,0,0,0,0,0,0,112,88,28,114,0,0,0,0
BTS-VIIa/410/124/1993,53.41085,-5.7283,60.2,14.357,34.2,0.89,0.3340625,20124.61133,43.50249671,201.5888889,0,0,0,1.69340688,7822.992105,4,0,0,4,2,0,0,6,10,10,8,10,144,10,4,154,0,0,0,0,0,0,0,160,20,12,174,2,0,0,0
