LONGITUDE,LATITUDE,Haul_Index,F_LPUE,Depth,Temperature,Salinity,Distance_to_Shore,,Current_Speed,Cuckoo,Thornback,Blonde,Spotted
-3.3466,53.8234,BTS-VIIa/26/69/1993,0,14.51,16.578,33.861,19000,,0.81,0,0,0,0
-3.9042,53.86335,BTS-VIIa/53/78/1993,0,39.01,15.727,34.029,48166.37891,,0.92,0,0,0,0
-3.43585,53.8367,BTS-VIIa/43/71/1993,0,18.14,16.539,33.877,26000,,0.79,0,0,0,0
-5.2508,53.8291,BTS-VIIa/405/103/1993,64.50151516,63.99,14.137,34.195,37802.11719,,0.59,0,2,0,0
-3.3691,53.9417,BTS-VIIa/24/72/1993,0,17.53,16.519,33.567,16401.2207,,0.86,0,0,0,0
-5.785,53.865,BTS-VIIa/208/111/1993,58.81491774,54.84,13.472,34.183,24413.11133,,0.32,0,0,0,0
-3.3241,53.89,BTS-VIIa/23/73/1993,0,11.67,16.551,33.646,18000,,0.89,0,0,0,0
-6.1041,53.8767,BTS-VIIa/206/110/1993,58.54328622,28.69,14.026,34.196,11180.33984,,0.23,0,0,0,0
-3.8017,53.97585,BTS-VIIa/42/79/1993,0,33,15.583,34.025,38626.41406,,0.73,2,0,0,0
-3.55915,53.9709,BTS-VIIa/41/81/1993,0,23.91,16.158,33.923,24186.77344,,0.71,0,0,0,0
-4.5,53.9792,BTS-VIIa/424/105/1993,0,39.24,14.867,34.102,12206.55566,,1.31,2,0,0,0
-3.2867,53.95995,BTS-VIIa/12/82/1993,0,15.29,16.251,33.424,11704.69922,,0.95,0,0,0,0
-4.9634,53.97245,BTS-VIIa/425/104/1993,0,46.42,14.455,34.168,13601.4707,,0.8,0,0,0,0
-3.3941,54.08245,BTS-VIIa/11/83/1993,0,17.04,16.21,33.82,8246.210938,,0.56,0,0,0,0
-3.7959,54.06745,BTS-VIIa/22/80/1993,25.975,41.65,15.379,34.033,34000,,0.64,0,0,0,0
-3.59585,54.09085,BTS-VIIa/20/84/1993,76.52877009,25.24,15.906,33.983,21400.93359,,0.55,0,0,0,0
-5.53085,54.07915,BTS-VIIa/444/108/1993,0,62.7,13.33,34.181,18788.29297,,0.29,0,0,0,0
-3.40255,54.1858,BTS-VIIa/10/86/1993,0,10.5,15.781,33.897,3605.55127,,0.49,0,0,0,0
-3.5533,54.13005,BTS-VIIa/19/85/1993,101.6810359,23.5,16.034,33.953,16124.51563,,0.5,0,0,0,0
-5.81245,54.1459,BTS-VIIa/203/109/1993,0,24.93,14.223,34.215,5000,,0.21,0,0,0,0
-3.48085,54.3292,BTS-VIIa/9/87/1993,0,16.48,15.73,33.789,4242.640625,,0.55,0,0,0,0
-3.96415,54.28915,BTS-VIIa/18/90/1993,63.14285714,14.12,15.612,33.989,23021.72852,,0.43,0,0,0,0
-3.55335,54.4092,BTS-VIIa/8/88/1993,0,19.09,15.837,33.576,2828.427002,,0.62,0,0,0,0
-5,54.4125,BTS-VIIa/445/106/1993,0,139.69,12.244,34.191,25632.01172,,0.71,0,0,0,0
-3.72,54.3367,BTS-VIIa/17/89/1993,48.64614717,32.56,15.904,33.94,15811.3877,,0.5,0,0,0,0
-5.2891,54.36835,BTS-VIIa/446/107/1993,0,90.86,13.567,34.172,11401.75391,,0.68,0,0,0,0
-3.6841,54.4916,BTS-VIIa/16/91/1993,0,21.27,15.968,33.427,3605.55127,,0.51,0,0,0,0
-3.6358,54.6059,BTS-VIIa/7/92/1993,0,9.08,15.882,33.21,4123.105469,,0.53,0,0,0,0
-3.91255,54.6091,BTS-VIIa/15/101/1993,0,30.43,16.186,33.767,18248.28711,,0.66,0,0,0,0
-3.8884,54.7159,BTS-VIIa/13/99/1993,0,19.7,15.977,33.561,7810.25,,0.76,0,0,0,0
-3.81005,54.66415,BTS-VIIa/6/94/1993,0,20.15,16.117,33.669,16000,,0.67,0,0,0,0
-4.22755,54.6867,BTS-VIIa/14/98/1993,0,32.59,16.108,33.758,8246.210938,,0.71,0,0,0,0
-3.62505,54.6766,BTS-VIIa/5/93/1993,0,14.49,15.891,33.369,4472.13623,,0.9,0,0,0,0
-4.5808,54.7159,BTS-VIIa/2/96/1993,0,12.79,15.608,33.858,3162.277588,,0.85,0,0,0,0
-3.8167,54.6633,BTS-VIIa/6/87/1994,0,20.75,16.119,33.67,16000,,0.69,0,0,0,0
-4.12755,54.7291,BTS-VIIa/14/85/1994,0,20.5,15.737,33.744,5385.164551,,0.61,0,0,0,0
-3.62745,54.6775,BTS-VIIa/5/89/1994,0,14.82,15.888,33.528,4472.13623,,0.88,0,0,0,0
-4.57755,54.71505,BTS-VIIa/2/83/1994,0,12.79,15.608,33.858,3162.277588,,0.85,0,0,0,0
-3.78335,53.7392,BTS-VIIa/54/122/1994,0,38.23,16.272,34.008,45276.92578,,0.88,0,0,0,0
-3.32165,53.6341,BTS-VIIa/30/110/1994,0,17.24,16.929,33.953,17000,,0.69,0,0,0,0
-6.09995,53.6025,BTS-VIIa/214/130/1994,207.6338283,10.02,15.721,34.184,3162.277588,,0.43,0,0,0,0
-5.4717,53.70005,BTS-VIIa/408/76/1994,61.48622483,102.44,11.487,34.226,42449.96875,,0.6,0,0,0,0
-3.58505,53.66,BTS-VIIa/47/121/1994,0,29.53,16.729,33.933,33837.84766,,0.81,0,0,0,0
-3.28085,53.55255,BTS-VIIa/31/112/1994,0,9.84,16.901,34.082,12000,,0.68,0,0,0,0
-4.0342,53.56835,BTS-VIIa/55/119/1994,0,45.81,16.368,34.049,25455.8457,,1.09,0,0,0,0
-3.6842,53.55585,BTS-VIIa/49/120/1994,0,33.24,16.799,34.011,26925.82227,,0.85,0,0,0,0
-4.2658,53.5167,BTS-VIIa/419/118/1994,0,39.73,16.249,34.142,12369.31738,,1.45,0,0,0,0
-5.00245,53.51755,BTS-VIIa/447/74/1994,0,45.99,14.681,34.216,31764.76172,,1.28,0,0,0,0
-5.28,53.515,BTS-VIIa/409/75/1994,26.47727273,65.56,14.029,34.203,46324.94141,,1.08,2,0,0,0
